name,prediction
Kamel Rezig,Stub
Salim Saadi,Stub
Abdelhak Saihi,Stub
Hichem Sofiane Salaouatchi,Stub
Naima Salhi,Stub
Abderezak Sebgag,Stub
Abderrachid Tabbi,Stub
Karim Bibi Triki,Start
Layachi Yaker,Start
Ahmed Zeghdar,Stub
Adão Francisco Correia de Almeida,Stub
Ana Paula Chantre Luna de Carvalho,Stub
Alexandre Sebastião André,Stub
Paulino Baptista,Start
Bernarda Gonçalves Martins,Stub
João Baptista Borges,C
Carolina Cerqueira,C
Arlete Chimbinda,Start
Kafundanga Chingunji,Stub
Jeremias Chitunda,Start
Abel Chivukuvuku,Start
Fiel Domingos Constantino,Stub
Adalberto Costa Júnior,Stub
Adjany Costa,Start
Álvaro Arnaldo Craveiro,Stub
Raul Danda,Stub
Diamantino Pedro Azevedo,Stub
Faustina Fernandes Inglês de Almeida Alves,Stub
Abraão Gourgel,Stub
Jofre Van-Dúnem Júnior,Stub
José Carvalho da Rocha,Stub
José Luis de Matos,Stub
Kambamba Kulaxingo,Stub
Jesus Faria Maiato,Stub
Manuel Neto da Costa,Stub
Manuel Tavares de Almeida,Stub
Marcos Alexandre Nhunga,Stub
Maria Cândida Pereira Teixeira,Stub
Maria do Rosário Teixeira de Alva Sequeira Bragança Sambo,Stub
David Mendes,Stub
Saíde Mingas,GA
Fernando Faustino Muteka,Stub
Pedro Mutinde,Start
José Ndele,Stub
Ana Paula Sacramento Neto,Stub
Daniel Ntongi-Nzinga,Stub
Paula Cristina Francisco Coelho,Stub
Pedro Pedalé,Stub
Elias Salupeto Pena,Start
Johnny Eduardo Pinnock,Stub
Santana André Pitra,Stub
Francisco Manuel Monteiro de Queiróz,Stub
José Aníbal Lopes Rocha,Stub
José da Rocha,Stub
Rosa Luís de Sousa Micolo,Stub
Luís Gomes Sambo,Start
Branca Manuel Espirito Santo,Stub
João Ernesto dos Santos,Stub
José Filomeno dos Santos,C
Jonas Savimbi,GA
Pinda Simão,Stub
Manuel Bernardo de Sousa,Stub
Augusto da Silva Tomás,Stub
José Jacinto Van-Dúnem,C
José Vieira Dias Van-Dúnem,Stub
Luzia Inglês Van-Dúnem,Start
Manuel Vicente,C
Mfulupinga Nlando Victor,Start
Clement Antonio,Stub
Randolph Beazer,Stub
Studiation Brown,Stub
Alex Browne (politician),Stub
Colin O'Neil Browne,Stub
James Carlisle,C
Gail Christian,Start
Mackenzie Frank,Stub
Osbert Richard Frederick,Start
Caleb Gardiner,Stub
Shenella Mary Shadida Govia,Stub
William Haynes-Smith,C
Tim Hector,C
Cheryl Mary Clare Hurst,Stub
Wilfred Jacobs,Stub
Rick James (actor),C
Kiz Johnson,Stub
Fabian Jones,Stub
Johnathan Joseph (politician),Stub
Kelvin Simon,Start
Harold Lovell,Start
Edmond Mansoor,Start
David Massiah,Stub
Joanne Massiah,Stub
Dwayne George,Stub
Knacyntar Nedd,Stub
Melford Nicholas,Start
Shawn Nicholas,Stub
Bernard Percival,Stub
Jamale Pringle,Stub
Philip Shoul,Stub
Rawdon Turner,Stub
Alincia Williams-Grant,Start
Juan Alemann,Stub
Germán Alfaro,C
Joaquín Samuel de Anchorena,Start
Juan Agustín Augier,Stub
Uladislao Augier,Stub
Marco Aurelio Avellaneda,Start
Joaquín Belgrano,Start
Antonio Bermejo,Start
Antonio Beruti,Start
Héctor Bidonde,Start
Silvano Bores,Stub
Exequiel Bustillo,Start
Mario Cafiero,Stub
Alberto Manuel Campos,Start
Alejo Castex,C
Dámaso Centeno,Stub
Rossana Chahla,C
Lázaro Chiappe,Stub
Carlos Corach,Stub
Jorge Coscia,Stub
Carlos de la Rosa,Stub
Juan Carlos Del Bello,Stub
Luis L. Domínguez,C
Máximo Etchecopar,Start
Héctor Toty Flores,Stub
Guillermo Francos,Start
Juan Fugl,Stub
Santiago Gallo,Start
Manuel José García,Stub
Juan José Gómez Centurión,Stub
Luis Carlos Gómez Centurión,Stub
Martín Guzmán,C
Federico Helguera,Start
Fernando Iglesias (Argentine politician),C
Ricardo Kennedy,Stub
Carlos Kunkel,Stub
Norberto La Porta,Stub
Andrés Larroque,Start
Julián de Leyva,Stub
Mónica López (politician),Stub
Lucio Victorio Mansilla,Start
Nicolás Massot,Start
Martín Menem,Start
Juan Mignaburu,Stub
Guillermo Montenegro,Stub
Mariano Moreno,FA
Marcelo Muniagurria,Start
Fernando Nadra,C
Rómulo Sebastián Naón,Start
Santiago G. O'Farrell,Start
Alfredo Olmedo,Stub
Miguel Ángel Pesce,Start
Carlos Petroni,C
Alejo Peyret,B
Aldo Pignanelli,Stub
Abel Posse,C
Enrique S. Quintana,Start
Amán Rawson,Start
Martín Sabbatella,C
Juan Pablo Schiavi,C
Héctor Tizón,Start
Claudio Uberti,C
Arístides Villanueva,Start
Jorge Yoma,C
Ashot Arsenyan,C
Vigen Chitechyan,Stub
Hayk Chobanyan,Start
Gurgen Egiazaryan,Start
Parunak Ferukhan,Stub
Gevorg Ghazaryan (politician),Stub
Andrias Ghukasyan,Start
Aram Grigoryan (politician),Start
Vahagn Hovakimyan,Start
Tigran Karapetyan,Start
Tigran Khzmalyan,C
Mikayel Kotanyan,Start
Hrant Maloyan,C
Khachatur Malumian,C
Aram Manukyan,Start
Gevorg Melik-Karagyozyan,Stub
Vahan Minakhoryan,Stub
Ruben Miroyan,Start
Ruben Mirzakhanyan,Start
Badal Muradyan,Start
Narine Tukhikyan,Start
Gabriel Noradoungian,C
Israel Ori,Start
Paul Paul,Start
Garo Paylan,C
Genrikh Poghosyan,Start
Ishkhan Saghatelyan,GA
Karen Sargsyan (sociologist),Start
Martiros Sarukhanyan,Stub
Vartkes Serengülian,Start
Suren Shadunts,Start
Ohannes Tchekidjian,Start
Hrayr Tovmasyan,Stub
Usub Bek Temuryan,Stub
Kegham Vanigian,Start
Serop Zakaryan,Stub
Alfons Adam,Start
Ingo Appelt,Stub
"Maximilian Anton Karl, Count Baillet de Latour",Start
Heinrich Alfred Barb,Start
Leopold Berchtold,C
Joseph Buttinger,Start
Prince Carl of Solms-Braunfels,C
Count Václav Antonín Chotek of Chotkov and Vojnín,Start
Citizens' Ministry,C
Richard von Coudenhove-Kalergi,C
Franz Dinghofer,GA
George Abraham von Dyhrn,Stub
Eduard von Grebmer zu Wolfsthurn,Start
Hans Ferlitsch,Stub
Friedhelm Frischenschlager,Start
Walter Guggenberger,Start
Ulrich Habsburg-Lothringen,Start
Ernst Hampel (politician),Stub
Hans Peter Haselsteiner,Start
Friedrich Wilhelm von Haugwitz,C
Eduard Hedvicek,Stub
Hermann Stern,C
Jürgen Himmelbauer,Stub
Anton Hofer,Start
Andreas Hörtnagl,Stub
Franz Jetzinger,Start
Konstantin Jireček,C
Hugo Jury,C
Joseph Kenner,Start
Theodor Kery,Stub
Michael Killisch-Horn,Stub
Sophia Kircher,Stub
Hubert Klausner,Start
Martin Kocher,Stub
Józef Kożdoń,C
Gottfried von Kühnelt-Leddihn,Start
Franz Leitner (politician),Stub
Elmar Lichtenegger,Start
Julius Lippert (historian),Stub
Reinhold Lopatka,Stub
Karl Lütgendorf,Stub
Jürgen Mandl,Stub
Renate Mann,Stub
Ferdinand Mannlicher,C
Christoph Matznetter,Start
Johann Gregor Memhardt,Stub
Franz Moroder,C
Heinz Nittel,Stub
Heidemaria Onodi,Start
Brigitta Pallauf,Start
Wladimir von Pawlowski,Stub
Johann Anton von Pergen,C
Gerhard Pfanzelter,Start
Walter Pfrimer,C
Leopold Poetsch,Start
Thomas Prinzhorn,C
Gregor Razumovsky (activist),C
Horst Rosenkranz,Start
Emil Sax,Start
Peter Schieder,Start
Karl Schmitzer,Stub
Sonja Zwazl,Start
"Georg Adam, Prince of Starhemberg",C
Gundaker Thomas Starhemberg,Start
Josef Staribacher,Stub
Peter Strasser (politician),Start
Julius Tandler,Start
"Leopold, Count von Thun und Hohenstein",C
Karl Freiherr von Vogelsang,Start
Anton von Winzor,Stub
Gisela Wurm,Stub
Alexander Zach,Stub
Curt Franz Wenzel Christoph Erdmann Graf Zedtwitz von Moraván und Duppau,Start
Karl von Zinzendorf,Start
Muzamil Abdullayev,Stub
Leyla Abdullayeva,Start
Elchin Afandiyev,Start
Fazail Agamali,C
Aliabbas Salahzade,Start
Enver Alikhanov,Stub
Tarlan Aliyarbayov,GA
Dilara Aliyeva,Start
Araz Alizadeh,Stub
Ali Asadov,C
Ashraf Bey Taghiyev,Start
Chimnaz Aslanova,Start
Akram Aylisli,C
Sahil Babayev,C
Huseyngulu Baghirov,Start
Bakhish bey Rustambeyov,Start
Alovsat Bakhshiyev,Start
Mirgasim Cheshmazer,Start
Vilayat Eyvazov,Start
Abdurrahman Fatalibeyli,C
Fazail Ibrahimli,Start
Afshan Gadimbeyova,Start
Garib Karimoğlu,Start
Gudrat Gasanguliev,Start
Solomon Grobshtein,Stub
Teymur Guliyev,Stub
Mammad Gurbanov,Start
Musa Hacigasimov,Stub
Asaf Hajiyev,C
Haji Molla Ahmad Nuruzade,GA
Farhad Hajiyev,Start
Hasan Majidov,Start
Hasan Hasanli,Start
Jamil Hasanli,C
Ali M. Hasanov,C
Zakir Hasanov,C
Ali Huseynli,Start
Alisahib Huseynov,Start
Ali Ibrahimov,Start
Irshad Aliyev,Stub
Mamed Iskenderov,Start
Vidadi Isgandarov,Start
Ajdar Ismailov,C
Saftar Jafarov,Start
Jeyhun Jalilov,Start
Arastun Javadov,Stub
Rovshan Javadov,C
Anar Karimov,Start
Boris Kevorkov,Start
Gurban Khalilov,Start
Ahmad Kordary,Stub
Lutfali bey Behbudov,C
Ilham Madatov,Start
Makhmud Mamed-Guliev,Start
Majnun Mammadov,Start
Musa Mammadov,Start
Ramin Mammadov,Start
Elshad Mirbashir oghlu,C
Tahir Mirkishili,Start
Movsum Samadov,C
Fuad Naghiyev,Start
Eldar Namazov,Start
Namig Nasrullayev,Stub
Siyavush Novruzov,C
Zahid Oruj,Start
Sadig Rahimov,C
Suleyman Rahimov,C
Huseyn Rahmanov,Stub
Rovshen Rzayev,Start
Hasan Seyidov,Stub
Hasan Seyidov (scientist),Start
Parviz Shahbazov,Start
Mammad agha Shahtakhtinski,C
Abid Sharifov,Start
Shirali Akhundov,C
Ikhtiyar Shirinov,Stub
Bakhtiyar Vahabzadeh,C
Vugar Mustafayev (minister),Start
Yusif Ziya Talibzadeh,GA
Nurali Yusifbayli,Start
Keith Bell (Bahamian politician),Start
Charles Carter (Bahamian journalist),C
Harold Christie,Start
Timothy Donaldson,C
Eugene Dupuch,Start
Joseph Robert Love,C
McKell Bonaby,Stub
Pakesia Parker-Edgecombe,Start
James Carmichael Smith (postmaster),C
Mohammed Isa Al Abbasi,Stub
Abdulla Adel Fakhro,Start
Abdullah bin Isa Al Khalifa,Start
Ahmed Behzad (Bahrain),Stub
Kamal Ahmed (politician),Stub
Mohamed Ali Hasan Ali,Stub
Khalid Almoayed,Stub
Aymen Tawfeeq Almoayed,Start
Nazar Al Baharna,Start
Mahmood Al Bahrani,Stub
Ammar Al Bannai,Start
Jawad Fairooz,Start
Qasim Fakhro,Start
Faisal al-Hamar,Stub
Nabeel bin Yaqub Al-Hamar,Stub
Isa bin Abdulrahman Al Hammadi,Stub
Jameel Humadan,Start
Isa bin Ibrahim Al Khalifa,Stub
Fahmi al-Jowder,Stub
Saud Kanoo,Stub
Essam Khalaf,Stub
Abdullah bin Hamad bin Isa Al Khalifa,Start
Ahmed bin Mohamed Al Khalifa,Stub
Ali bin Khalifa Al Khalifa,Stub
Hala bint Mohammed Al Khalifa,Start
Ibrahim ibn Khalifa Al Khalifa,Start
Mai bint Mohammed Al Khalifa,Start
Salman bin Khalifa Al Khalifa,Stub
Hamad Al Kooheji,Stub
Abdullatif Al-Mahmood,Stub
Rasheed Mohammed Al Maraj,Stub
Khalid Al Maskati,Stub
Abdulhussain bin Ali Mirza,Stub
Mohammed Al-Buainain,Start
Mohammed bin Khalifa bin Ahmed,C
Mohammed bin Khalifa bin Ali Al Khalifa,Start
Abdulrahman al-Nuaimi,Start
Ammar Qambar,Start
Isa Qassim,GA
