name,prediction
Sanjin Halimović,Start
Sevlid Hurtić,C
Husein Miljković,GA
Jasmin Imamović,Start
Adamir Jerković,C
Esed Kadrić,Stub
Mehmed Kapetanović,Start
Osman Karabegović,C
Rusmir Mahmutćehajić,Start
Amor Mašović,Start
Božidar Matić,C
Dragan Mektić,C
Ademaga Mešić,C
Jelka Miličević,Start
Abdulah Mutapčić,Stub
Abdulah Nakaš,Start
Damir Nikšić,C
Ismet Popovac,FA
Hakija Pozderac,Start
Hamdija Pozderac,C
Nurija Pozderac,Start
Đuro Pucar,C
Svetozar Pudarić,Start
Alen Šeranić,Start
Uglješa Uzelac,Start
Nezir Škaljić,C
Ibrahim Spahić,Start
Jelena Trivić,C
Milan Uzelac,Start
Dragan Vikić,C
Miloš Vukašinović,Start
Philip Matante,C
Leetile Disang Raditladi,C
Patrick van Rensburg,C
Tobias de Aguiar,Stub
Medeiros e Albuquerque,Start
Léo de Almeida Neves,Stub
Antônio Pinto Chichorro da Gama,Stub
Cipriano Barata,Start
Jader Barbalho Filho,Stub
Irani Barbosa,Stub
Djalma Bastos de Morais,Stub
"Henrique de Beaurepaire-Rohan, Viscount of Beaurepaire-Rohan",Stub
Natália Bastos Bonavides,Stub
Marcos Braz,Stub
Amador Bueno,Start
Maurício Campos de Medeiros,Start
Marcelo Cecé,Stub
Izolda Cela,GA
Margarete Coelho,Start
Paulo Corrêa,Start
Miguel Couto,Start
João Cunha (politician),Stub
"Manuel Jacinto Nogueira da Gama, Marquis of Baependi",Start
Aécio de Borba,Stub
José Abílio Silva de Santana,Stub
Alércio Dias,Stub
Délio dos Santos,Stub
Ademar Frederico Duwe,Stub
Paulo Cesar Farias,Start
Emília Fernandes,C
José Carlos da Silva Mayrink Ferrão,Start
Juscelino Filho,Start
Pedro Paulino de Fonseca,Stub
Francisco Julião,Stub
Jofran Frejat,Stub
Almir Gabriel,GA
Joaquim Gomes de Souza,Start
Abdul Hamid Sebba,Stub
José Carlos Barbosa,Start
José Eriberto Medeiros,C
Camila Jourdan,C
Jutahy Júnior,Stub
Joaquim Gonçalves Ledo,C
Antônio Leite Andrade,Stub
Ronaldo Lessa,C
Vinicius Lummertz,Start
Londres Machado,Start
Alceste Madeira,Stub
Beto Mansur,Stub
Pablo Marçal,C
Horácio de Matos,Stub
Sandra Meira Starling,Stub
Gerardo Melo Mourão,Start
Murilo Melo Filho,Stub
Cândido Mendes de Almeida,Start
Gilmar Mendes,C
Claudio Modesto,Start
Carlos Eduardo Moreira Ferreira,Stub
José Múcio,C
Pedro Soares Muñoz,Stub
Paulo Nani,Start
Dora Nascimento,Stub
Carlos Neder,Stub
Domingos Gomes de Aguiar Neto,Start
"Manuel Luís Osório, Marquis of Erval",C
Hildebrando Pascoal,Start
Astrojildo Pereira,Stub
Joaquim Alvaro Pereira Leite,Stub
Francisco José Pinheiro,Start
Mario Pinotti,C
Henrique Pizzolato,Start
Plínio de Arruda Sampaio Jr.,C
Marcio Pochmann,C
Presidency of Castelo Branco,GA
Presidency of Eurico Gaspar Dutra,GA
Presidency of Fernando Henrique Cardoso,FA
Presidency of Itamar Franco,C
Presidency of Juscelino Kubitschek,GA
Irondi Pugliesi,Stub
Eusébio de Queirós,C
Marco Antonio Raupp,Start
Renan Contar,C
Robert Rey (plastic surgeon),C
José Richa,Start
Ary Rigo,Stub
Eduardo Rocha,Start
Betinho Rosado,Stub
Rosana Martinelli,C
Antônio Ricardo dos Santos,Start
Augusto Severo de Albuquerque Maranhão,Stub
"José Manuel da Silva, Baron of Tietê",Stub
Fabiano Silveira,Start
Vittorio Sorotiuk,Start
Jose de Sousa Campos,Stub
"Irineu Evangelista de Sousa, Viscount of Mauá",C
"João Cardoso de Meneses e Sousa, Baron of Paranapiacaba",Start
Aureliano Cândido Tavares Bastos,Start
Juarez Távora (general),C
"Antônio de Queirós Teles, Baron of Jundiaí",Stub
Nelson Trad Filho,Start
Evaristo da Veiga,Stub
Luís Viana Neto,Start
Augusto Ximeno de Villeroy,Stub
André Zacharow,Stub
Murilo Zauith,Start
Zeca do PT,Start
Aleksandar Alekov,Start
Anyu Angelov,Start
Atanas Zapryanov,Stub
Atanas Atanasov (politician born 1990),Start
Atanas Atanasov (politician),C
Hristo Atanassov,Start
Jonas Basanavičius,FA
Tsvetko Boboshevski,Stub
Alexander Bogoridi,Start
Chairman (President) of Bulgaria,C
Dzhevdet Chakarov,Stub
Vasil Chichibaba,Start
Lea Cohen,C
Vladimir Damgov,Start
Stanislav Daskalov,Stub
Stefan Dimitrov (politician),Stub
Ivan Dimov (scientist),Start
Valentin Fortunov,Start
Tsoncho Ganev,Stub
Georgi Gvozdeykov,Stub
Goritsa Grancharova,GA
Ivancho Hadzhipenchovich,Start
Ivan Demerdzhiev,Stub
Aleksi Ivanov,Start
Grozdan Karadzhov,Start
Vladimir Karolev,Start
Georgi Kirkov,Start
Spiro Kitinchev,C
Ivan Kondov,Stub
Kostadin Kostadinov (professor),Start
Gavril Krastevich,Stub
Petar Kulenski,Stub
Lazar Lazarov,Stub
Nikola Lazarov,B
Ivan Marazov,Stub
Venko Markovski,C
Yakov Matakiev,Start
Ilian Mihov,Start
Raya Nazaryan,Stub
Nikolay Milkov,Stub
Plamen Panayotov,Stub
Vladislav Panev,Stub
Asparuh Panov,Stub
Atanas Pekanov,C
Sasho Penov,Stub
Lyudmila Petkova,Stub
Hristo Petrov,Stub
Rosen Plevneliev,C
Aleksandur Pulev,Stub
Denitsa Simeonova,Stub
Ivan Stanchov,Stub
Kalin Stoyanov,GA
Stanislav Stoyanov (politician),Stub
Dragomir Stoynev,Stub
Teodora Genchovska,Stub
Daniel Valchev,Stub
Krasimir Valchev,Stub
Velko Valkanov,Stub
Ventsislav Varbanov,Stub
Damyan Velchev,Start
Svetoslav Vitkov,Start
Mincho Yovchev,Stub
Atanas Zafirov,C
Martin Zaimov,Start
Dragomir Zakov,Start
Nayden Zelenogorski,Stub
Boureima Badini,Start
Blaise Bassoleth,Stub
Nazi Boni,Start
Eric Bougouma,Start
François Compaoré,Start
Daniel Ouezzin Coulibaly,Stub
Toubé Clément Dakio,Stub
Frédéric Guirma,Stub
Emile Ilboudo,Stub
Zinda Kaboré,Stub
Christophe Kalenzaga,Start
Joséphine Drabo Kanyoulou,Stub
Joséphine Ki-Zerbo,Stub
Begnon-Damien Koné,Stub
Yabre Juliette Kongo,Start
Kouamé Lougué,Stub
Jean-Baptiste Natama,Stub
Jean-Baptiste Ouédraogo,FA
Mamadou Ouédraogo,Stub
Ousmane Bougouma,Start
Pargui Emile Paré,Stub
Filippe Savadogo,Stub
Nouhoun Sigue,Stub
Diongolo Traore,Stub
Maurice Yaméogo,FA
Saye Zerbo,Start
Aung Than Oo,Stub
Aye Ko (artist),Stub
Ba Shin,C
Bao Youxiang,C
Bawk Ja,Start
Cheery Zahau,C
Oscar de Glanville,Start
M. A. Gaffar,C
Han Tha Myint,Start
Hla Maung Shwe,Stub
Hso Khan Pha,C
Nai Htaw Sorn,Start
Htay Aung (businessman),Start
Htin Linn Aung,Start
Ja Htoi Pan,Stub
Khin Kyaw Han,Stub
Khin Ma Ma Myo,Stub
Khin Maung Swe,Start
Khun San Lwin,Stub
Ko Ni,C
Thakin Kodaw Hmaing,C
Kwe Te No,Stub
Sao Kya Seng,C
Kyaw Moe Tun,GA
Kyaw Tun,C
Kyaw Zaw Oo,C
Duwa Lashi La,C
Lian Hmung Sakhong,Start
Sultan Mahmud (minister),C
Maran Brang Seng,Start
Gani Markan,Stub
Maw Htun Aung,C
"Myint Swe (politician, born 1965)",Stub
Myo Yan Naung Thein,Start
Naw Ohn Hla,C
Nay Myo Wai,Start
Nay Zin Lat,Stub
Kyaw Ni,Stub
Nyi Sein,Stub
Nyo Nyo Thin,Start
Pu Pa Thang,Stub
San Tun,Stub
Sao Sanda,Start
Sasa (politician),C
Saw Sa,C
Saya Gyi U Nu,GA
"Sein Win (politician, born 1944)",Start
Mya Lay Sein,Start
Sao Seng Suk,Stub
Shwe Ohn,Stub
Soe Moe Hlaing,Start
Sultan Ahmed (Burmese politician),Start
Naw Susanna Hla Hla Soe,Start
Tan Yu Sai,Stub
Taw Phaya Galay,C
Tayzar San,Start
Than Nyein,Start
Than Sein,Stub
Than Win,Start
Thaung Tun (politician),Start
Baganset U Thaw,C
Thein Maung,Start
Thein Nyunt (politician),Start
Thet Win Aung,Start
Thirty Comrades,C
Tin Aye,Stub
Tu Hkawng,Start
Wai Moe Naing,Start
Win Ko Ko Latt,Start
Maung Wuntha,Start
Yawd Serk,Stub
Za Hlei Thang,C
Zaw Htay,C
Zura Begum,Start
Pierre Baranyanka,GA
Joseph Biroli,GA
Evelyne Butoyi,Stub
Joseph Cimpaye,C
Edouard Nduwimana,Stub
Gervais Nyangoma,Start
Gérard Mfuranzima,Start
Cyrille Ndayirukiye,Stub
Révérien Ndikuriyo,Start
Tharcisse Niyongabo,Stub
Gabriel Nizigama,Stub
Jean-Baptiste Ntidendereza,C
Ririkumutima,Start
Agathon Rwasa,Start
Imelde Sabushimike,Start
Alexis Sinduhije,GA
Ang Vong Vathana,Stub
Samheng Boros,Start
Bun Chanmol,C
Chem Snguon,Stub
Chhan Sokhom,Stub
Chuon Saodi,Stub
Duong Sam Ol,Stub
Ieu Koeus,Start
Ith Samheng,Start
Khem Veasna,C
Kou Roun,Stub
Daran Kravanh,Stub
Lon Nil,Start
Mao Ayuth,C
Neav Sithong,Stub
Ngoun Chhay Kry,Stub
Norodom Norindeth,Start
Norodom Phurissara,Start
Oung Ouen,Stub
Phlek Chhat,Stub
Ponn Vongs Vaddey,Stub
Samheng Bora,Start
Say Phouthang,C
Sisowath Youtevong,Start
So Nem,Stub
Tep Hun,Stub
Tep Phan,Stub
Tep Vattho,Start
Thiounn,GA
Touch Kim,Stub
Truong Cang,Start
Tuot Saron,Start
Uch Ven,Stub
Uk Vithun,Stub
Ung Hong Sath,Stub
Veng Sakhon,Stub
Yat Hwaidi,Stub
Marie Catherine Abena,Start
Haman Adama,Stub
Vincent de Paul Ahanda,Stub
Ahmadou Ahidjo,FA
Joseph Beti Assomo,Start
Charles Ateba Eyene,Start
Olivier Bilé,Stub
Dsamou Micheline,Start
Lawrence Fonka Shang,Stub
Victor Fotso,Stub
Séraphin Magloire Fouda,Stub
Lucy Gwanmesia,Start
Njomgang Isaac,Start
René Jam Afane,Start
Augustine Ngom Jua,Start
Paul Monyonge Kale,Start
Enanga Kebbi,Start
Pierre Kotouo,Stub
Laurentine Mbede,Start
Albert Mbida,Stub
Ibrahim Mbombo Njoya,Start
Clémentine Ananga Messina,Start
Ousmane Mey,Start
Victor Mukete,Start
Bernard Muna,Start
Jerôme Mvondo,Stub
Anne Marthe Mvoto,Start
Hermine Patricia Tomaïno Ndam Njoya,C
Pierre Ngayewang,Stub
John Ebong Ngole,Stub
Xavier Ngoubeyou,Stub
Victor Anomah Ngu,Start
Julienne Niat,Start
Dorothy L. Njeuma,Start
Bernard Njonga,Stub
Arouna N'Joya,Stub
Edouard Nomo-Ongolo,Stub
Antoine Ntsimi,C
Paul Pondi,C
Félix Sabal Lecco (politician),C
François Sengat-Kuo,Stub
Madeleine Tchuente,Start
Félix Tonye Mbog,Start
Kah Walla,GA
Zakiatou Djamo,Stub
José Manuel Gomes Andrade,Stub
Honório Barreto,Start
Pedro Fernandes Lopes,C
Januaria Moreira,Start
Paulo Rocha (Cape Verde politician),Stub
Gilberto Correia Carvalho Silva,Stub
Luís Filipe Tavares,Start
Carlos de Vasconcelos,Start
Abraão Vicente,Start
Jean-Bédel Bokassa,FA
Antoine Darlan,C
Georges Darlan,C
Catherine Denguiadé,Start
Henri-Marie Dondra,Stub
Saif Durbar,C
Gaston N'Guérékata,C
Jean-Benoît Gonda,Stub
Hassan Al Habib,Stub
Rodolphe Iddi Lala,C
Désiré Kolingba,Stub
Tchakpa M'brede,Start
Karim Meckassoua,Stub
Abakar Sabone,C
Levy Yakete,Stub
Achta Ahmat Bremé,Stub
Kamougue Assoum,Stub
Christian Georges Diguimbaye,Stub
Firmin Djidingar,Stub
Roger Djikisna,Stub
Issa Doubragne,Start
Moussa Faki,C
Arabi El Goni,Stub
Isabelle Kassire,Stub
Oueddei Kichidemi,Start
Alphonse Kotiga,Stub
Baba Laddé,C
Nadji Madou,Stub
Mahmoud Ali Seid,Start
Mariam Mahamat Nour,Stub
Laoukein Kourayo Médard,Stub
Abbo Nassour,C
Tahir Hamid Nguilin,Stub
Quatre Sou Quatre,Stub
François Tombalbaye,C
Saadie Goukouni Weddeye,Start
Alejandro Serani Burgos,C
Beltrán Mathieu,B
Alexandra Benado,Start
Rolando Calderón,Stub
Eugenio Cantuarias,Stub
Carlos Balmaceda Saavedra,Start
Jorge Cauas,Stub
Alberto Cooper,Stub
Fernando Cordero Rusque,Stub
Juan de Dios Correa de Saa,Stub
María Silvia Correa Marín,Start
Álvaro Covarrubias,Start
Pedro Nolasco Cruz Vergara,C
Jose Fernandez Dubrock,Stub
Juan Egaña,Stub
Sergio Fernández Fernández,Stub
Ángel Flisfisch,Start
Jaime Gazmuri,C
Carlos González Márquez,Stub
"David Henríquez (footballer, born 1977)",Start
Alejandra Bravo Hidalgo,C
Checho Hirane,Stub
Ricardo Hormazábal,Stub
Aucán Huilcamán,Stub
Liliana Jadue,Start
Andrés Jouannet,Start
Antonio Leal Labrín,Stub
Graciela Mandujano,Start
Daniel Manouchehri,Start
Rodrigo Mundaca,Stub
Sergio Ortega (composer),C
Manuel Ossa Ruiz,Start
Miguel Otero Lathrop,Stub
Sergio Páez Verdugo,Stub
Luis Palacios Rossini,Stub
Héctor Parra (footballer),C
Ignacio Pérez Walker,Stub
Bernhard Eunom Philippi,Start
Germán Picó Cañas,Start
Tancredo Pinochet,Start
Jaime Pizarro,C
Roberto Poblete,Start
Francisco Prat Alemparte,Stub
Pablo Prieto,Stub
Valentina Quiroga,Start
Patricio Rey Sommer,Stub
Claudio Reyes,C
Mario Ríos Santander,Stub
Jennifer Rojas,Start
Miguel Schweitzer Walters,Start
Loreto Silva,Start
Roberto Thieme,Start
Manuel Antonio Tocornal,Stub
Ramón Vega Hidalgo,Stub
Juan de Dios Vial del Río,Stub
Claudio Vicuña Subercaseaux,B
Hernán Vodanovic,Stub
Chris Watson,FA
Sergio Zarzar Andonie,Start
Cao Lihuai,C
Fu Wenhua,Start
Gu Shu,Start
Hang Yihong,Stub
Hao Hongjun,C
Hoi Lai Fong,Stub
Hu Fuming,Stub
Jiao Xiaoping,Start
Lin Shengzhong,Start
Lu Feng (politician),Stub
Shi Ping (politician),Start
Wang Liyan,Start
Wang Yonghong,Start
"Wang Wei (politician, born 1974)",Stub
Wei Wenhui,Stub
Zhang Lin (general),Stub
José Manuel Restrepo Abondano,Start
Yahir Acuña,Stub
Iván Darío Agudelo,Start
Carlos Mario Álvarez,Stub
Rafael Francisco Amador Campos,Stub
Julio Arboleda Pombo,Start
Justo Arosemena Quesada,Start
Germán Blanco Álvarez,Start
Manuel José Bonnet,Start
Wilson Borja,Stub
Gloria María Borrero,Stub
Carlos Fernando Galán,C
José Eusebio Caro,Stub
Ana María Castañeda,Start
Iván Cepeda,Start
Juan José Chaux Mosquera,Start
Vicky Colbert,C
Alejandro Corrales Escobar,Stub
Alfredo Cuello Baute,Start
Alfonso Dávila Ortiz,C
Luis Eduardo Díaz Granados,Stub
Olga Duque de Ospina,Stub
Eduardo Wiesner Durán,Start
Eduardo Enríquez Maya,Stub
Miguel Amín Escaf,Stub
Juan Carlos Esguerra Portocarrero,Stub
Claudio Galán Pachón,Stub
Juan García del Río,Stub
Daniel García-Peña,Start
Lucy Inés García,Stub
Yaneth Giha Tovar,Stub
Enrique Gil Botero,GA
Guillermo González (politician),Stub
Bernardo Guerra Serna,Stub
Carlos Mauro Hoyos,C
Augusto Ibáñez Guzmán,Start
Gilma Jiménez,Stub
Roberto Junguito,Stub
Maria Claudia Lacouture,Start
Rodrigo Lara,C
Rodrigo Hernán Lloreda Caicedo,Start
Francisco José Lloreda Mera,C
Fernando Londoño,Start
Jorge Eduardo Londoño,Stub
"Jorge Miguel Lozano, Marquis of San Jorge",Start
David Luna Sánchez,Stub
Mariano Arosemena,Stub
Iván Marulanda,Start
Carlos Eduardo Medellín Becerra,C
Germán Montoya Vélez,Stub
Lorenzo Muelas,Start
Narciso Matus Torres,Stub
Elsa Noguera,Stub
Antonio Ordóñez Plaja,Stub
Fernando Ospina Hernández,Stub
Enrique Parejo González,Stub
Carlos Pizarro Leongómez,C
Daniel Quintero,C
Juan Camilo Quintero,Stub
Manuel María Ramírez Fortoul,Start
Juan José Reyes-Patria Escobar,C
Ricardo Cobo,Stub
Jorge Enrique Robledo,Start
Ángela Robledo,Start
Antonio Roldán Betancur,Start
Sixta Pontón de Santander,Stub
Juana de J. Sarmiento,Start
Oscar Terán (lawyer),Stub
Ernesto Macías Tovar,Start
Ciro Luis Urriola,Start
Ramón Maximiliano Valdés,Stub
Eduardo Valencia Ospina,Start
Cristóbal de Vergara Azcárate,Start
José María Vergara y Vergara,C
Estanislao Vergara y Sanz de Santamaría,Stub
Luis Villar Borda,Stub
Luis Carlos Villegas Echeverri,Stub
Roberto Camacho Weberberg,Start
Mouzawar Abdallah,Start
Moustadroine Abdou,Stub
Ibrahim Aboubacar,Start
Saïd Ibrahim Ben Ali,Start
Mohamed Bacar,C
Chamina Ben Mohamed,Stub
Saïd Mohamed Cheikh,Start
Mohamed Dahalani,Stub
Dhoihir Dhoulkamal,Stub
Ahmed Ben Said Djaffar,Stub
Abdou Soulé Elbak,Stub
Gaston Feuillard,Stub
Siti Kassim,Start
Said Ali Kemal,Start
Fouad Mohadji,Stub
Dawiat Mohamed,Stub
Sittou Raghadat Mohamed,Start
Idi Nadhoim,Stub
Fahmi Said Ibrahim,Stub
Djaffar Ahmed Said,Stub
Abdallah Said Sarouma,Stub
Mohamed Ali Soilihi,Start
Moussa Toybou,Stub
Léon Angor,Start
Joseph Badiabio,Start
Frédéric Bintsamou,Start
Modeste Boukadia,C
Jean-Jacques Bouya,C
Fidèle Dimou,Start
Gabriel Entcha-Ebia,Start
Gabriel Valère Eteka Yemet,Start
Albert Fourvelle,Stub
Pascal Gamassa,C
Pierre Goura,Start
Gustave Aba-Gandzion,Stub
Joseph Hondjuila Miokono,Start
Zely Pierre Inzoungou-Massanga,Stub
André Kerhervé,Stub
Pierre Mabiala,C
Paulin Makaya,C
Jean-Pierre Makouta-Mboukou,C
Jean Malonga,Stub
André Matsoua,Start
Ferdinand Mbahou,Start
Justin Mikolo-Kinzonzi,Start
Bonaventure Mizidy,Stub
Émile Mokoko Wongolo,Start
Jean-Marie Mokoko,C
René-Dambert Ndouane,C
Jean-Dominique Okemba,C
Denis-Christel Sassou Nguesso,C
Arlette Soudan-Nonault,Start
Jean Félix Demba Telo,Stub
Abel Thauley-Ganga,Stub
Daniel Aselo,Stub
Jean-Claude Baende,Start
Bertrand Bisimwa,Start
Célestin Cibalonza Byaterana,Stub
Martin Parfait Aimé Coussoud-Mavoungou,Start
Emmanuel Dungia,C
Ferdinand Essandja,Stub
Floribert Anzuluni,Start
Lugi Gizenga,Start
Clovis Kabongo Malemba,Stub
Odilon Kafitwe wa pa Bowa,Stub
François Nicéphore Kakese,Stub
Kalenga Riziki Lwango II,Start
Jean Collins Musonda Kalusambo,Stub
Norman Kamosi,Stub
Oscar Kashala,GA
Banyingela Kasonga,Start
Tharcisse Kasongo Mwema Yamba-Yamba,Start
Albert-Joseph Kasongo Wa Kapinga,GA
Pierre Honoré Kazadi Lukonda Ngube-Ngube,Stub
Jacques Kazadi,Start
Léon Kengo wa Dondo,C
Robert Kidiaba,Start
Seth Kikuni,Stub
Jean-Pierre Lola Kisanga,Stub
Delphin Kyubwa,Stub
Gabriel Kyungu,Start
Eric Lenge,Start
Faustin Luanga,C
Guy-Patrice Lumumba,Stub
Sultani Makenga,C
Angèle Makombo,Stub
Franck Mwe di Malila,C
Anne Mbusu,Start
Munga Mibindo,Stub
Emile Mota,Start
Josué Alex Mukendi,Stub
Daniel Mukoko Samba,Start
Paul-Joseph Mukungubila,C
Medard Mulangala,C
Didier Mumengi,C
Kasongo Munganga,C
Jean-Claude Kazembe Musonda,Stub
Jules Mutebutsi,Start
Laurent Nkunda,C
Muanda Nsemi,Start
Victor Promontorio,Start
Jean-Marie Runiga,Start
Alain Daniel Shekomba,Stub
Koloso Sumaili,Stub
Noël K. Tshiani Muadiamvita,C
Emery Wafwana,Start
Yolande Ebongo Osongo,Stub
Florentino Alfaro Zamora,Stub
Alejandro Alvarado García,Stub
Antonio Saldaña,Start
Armando Aráuz Aguilar,Stub
Birche,Stub
Tranquilino de Bonilla y Herdocia,Stub
Juan José de Bonilla y Herdocia,Stub
Miguel de Bonilla y Laya-Bolívar,Start
Stephan Brunner,Stub
Marvin Calvo Montoya,Stub
Florencio del Castillo,Start
Paola Vega Castillo,Stub
Ramón Castro y Ramírez,Stub
Ricardo Castro Beeche,Stub
Teodoro Willink Castro,Stub
José Joaquín Chaverri Sievert,Stub
José Miguel Corrales Bolaños,Stub
Correque,Start
Aquileo J. Echeverría,Start
El Guarco,Start
Narciso Esquivel y Salazar,Stub
Alberto Fait Lizano,Stub
King Garabito,Start
Gerardo Gómez Ramírez,Stub
Joaquín Gutiérrez,C
Fernando Guzmán Mata,Stub
Gerardo Guzmán Quirós,Stub
Joaquín de Iglesias Vidamartel,Stub
Bernal Jiménez Monge,Stub
Ramón Jiménez y Robredo,Stub
José Miguel Alfaro Rodríguez,Stub
Pedro María León-Páez y Brown,Stub
Óscar López (politician),Stub
Juan de los Santos Madriz y Cervantes,Stub
Félix Arcadio Montero Monge,Stub
José Joaquín Mora Porras,Stub
Mary Munive,Stub
Rafael Moya Murillo,Stub
María Teresa Obregón Zamora,C
Rodrigo Oreamuno Blanco,Stub
Joaquín de Oreamuno,GA
Rafael Francisco Osejo,Start
Pablo Presbere,C
Manuel María de Peralta y Alfaro,Start
José María de Peralta,Start
Manuel María de Peralta y López del Corral,Stub
Cipriano Pérez y Arias,Stub
Eusebio Prieto y Ruiz,Stub
Carmen Quesada Santamaría,Stub
José Pablo Quirós Quirós,Stub
Gregorio José Ramírez,Start
Rafael Ramírez Hidalgo,Stub
Carlos Ricardo Benavides Jiménez,Stub
Rodrigo Altmann Ortiz,Stub
Santiago Mayas,Start
Siarke,Stub
Tomás Enrique Soley Soler,Stub
José María Soto Alfaro,Start
Nazario Toledo,Stub
Marco Vinicio Vargas Pereira,Stub
Santos Velázquez y Tinoco,Stub
William Forbes (Talamancan king),Stub
Ivan Anušić,Stub
Mato Arlović,Start
Branko Bačić,C
Fran Barac,Start
Stephen Nikola Bartulica,Start
Živko Bertić,Start
Ante Biankini,Start
Juraj Biankini,Start
Antun Bonifačić,Start
Andrija Torkvat Brlić,GA
Josip Broz Tito,FA
"Gajo Bulat (politician, born 1867)",Start
Nadežda Čačinovič,Start
Gjuro Červar,Start
Melko Čingrija,Start
Pero Čingrija,Start
Juraj Demetrović,Stub
Mate Drinković,Start
Nikica Gabrić,Stub
Leon Geršković,Start
Pavle Gregorić,Stub
Ernest Jelušić,Start
Emerik Josipović,Stub
Gejza Josipović,Stub
Radovan Juričić,Start
Luka Kirac,GA
Stjepan Kovačević,Stub
Josip Kregar,Start
Izidor Kršnjavi,Start
Ivo Krstelj,Start
Šime Kurelić,Start
Ante Mandić,Stub
Gavro Manojlović,Start
Vladimir Mažuranić,Start
Francesco Neffat,Start
Fran Novljan,Start
Adam Oster,Stub
Kata Pejnović,Start
Ivo Pilar,C
Pero Pirker,GA
Vladimir Prebeg,Start
Svetozar Pribićević,C
Niko Pucić,Start
Rafael Pucić,Stub
Ivica Puljak,Start
Mario Radić (politician),Start
Svetozar Rittig,C
Juraj Rukavina Vidovgradski (politician),Start
Juraj Rukavina Vidovgradski (soldier),Start
Vjekoslav Servatzy,Start
Ivan Vilibor Sinčić,Start
Tadija Smičiklas,C
Predrag Štromar,Start
Josip Juraj Strossmayer,GA
Ante Šupuk,Start
Đuro Šurmin,Start
Petar Dragan Turković,Start
Vjenceslav Turković,Start
Ljudevit Vukotinović,C
Dragan Vulin,Start
Većeslav Wilder,Stub
Lordan Zafranović,C
Ivana Živković,C
Savo Zlatić,C
Ante Županović,Stub
Prime Ministers of Cuba,Stub
President of Cuba,C
Eduardo Agramonte Piña,C
Ignacio Agramonte,C
Francisco Agüero Velasco,Start
Alberto López Díaz,Stub
Sebastian Arcos Bergnes,C
Gustavo Arcos,Start
Juan de Ayala y Escobar,C
Miguel Brugueras,Stub
Leopoldo Cancio,Start
Demetrio Castillo Duany,Start
Vicente Manuel de Céspedes,C
Manuel Cidre,Start
Rosendo Collazo,GA
Concepción Campa Huergo,Stub
José María Coppinger,GA
Miguel Díaz-Canel,GA
Manuel Dorta-Duque,C
Carlos Fernández Gondín,Start
Orestes Ferrara,C
Porfirio Franca,Start
Francisco de Arango y Parreño,C
Edith García Buchaca,FA
Eumelín González Sánchez,Stub
Aurelio Hevia,Stub
Fernando Heydrich,Start
Alfredo Hornedo,C
José Irisarri,C
Perfecto Lacoste,C
José Francisco Lemus,Start
Manuel Marrero Cruz,Start
Rubén Martínez Puente,Stub
Augusto Martínez Sánchez,C
Bartolomé Masó,Start
Ramón Meza y Suárez Inclán,Start
Rafael Montoro,Stub
Bartolomé Morales,Start
José Núñez de Cáceres,FA
Juan Vitalio Acuña Núñez,Stub
Frank País,C
Pedro Esteban González-Larrinaga,Start
Guillermo Portela,Start
Juan Nepomuceno de Quesada,C
Luis Alberto Rodríguez López-Calleja,Start
Francisco Sánchez Betancourt,Start
"Salvador José de Muro, 2nd Marquis of Someruelos",GA
Laureano de Torres y Ayala,C
Salvador Valdés Mesa,Start
Antonio Zambrana,B
Mine Atlı,Stub
Christos Christou (politician),Start
Ioannis Clerides,Start
Katherine Clerides,C
Takis Evdokas,Stub
Oz Karahan,Start
Stelios Koiliaris,Stub
Andreas Koukouma,C
Pantelis Kouros,Stub
Kyrillos III of Cyprus,Start
Michalis Paraskevas,C
Christos Patsalides,Stub
Nicos A. Rolandis,Start
Benon Sevan,C
Stefanos Stefanou,B
Michael Zampelas,Start
Josef Barák,Stub
Dagmar Burešová,C
František Ringo Čech,C
Jaroslav Chalupský,Stub
Count Václav Antonín Chotek of Chotkov and Vojnín,Start
Petr Cibulka,Start
Josef Šebestián Daubek,Start
Karel Domin,Start
Jaroslav Foldyna,Start
Vladimír Franz,C
Josef Václav Frič,Start
Radola Gajda,C
Julius Gregr,Stub
Tomáš Grulich,Stub
Karel Havlík,Stub
Eduard Hedvicek,Stub
Vladimír Hučín,Start
Stanislav Huml,Stub
Martin Jahn,Start
Antonín Janoušek,Start
Josef Ježek,C
Ladislav Jirků,Stub
Svatopluk Karásek,Stub
"Wenzel Anton, Prince of Kaunitz-Rietberg",C
Philip Kinsky of Wchinitz and Tettau,Start
Bohuslav Kokotek,Start
Jiří Kopal,C
Jan Krejčí,C
Tomáš Kvapil,Stub
Jan Lacina,GA
Lubomír Ledl,Stub
Miroslav Lidinský,C
Jiří Lobkowicz,Stub
Jiří Löw,C
Ivan Mašek,Stub
Mikuláš of Hus,Stub
Zdeněk Mraček,Stub
Jana Nečasová,Stub
Joseph Nekl,Stub
Jiří Oberfalzer,Start
Roman Onderka,Stub
Vladimír Oplt,Stub
Mojmír Povolný,GA
Vladimír Príkazský,Start
Ondřej Přikryl,Start
Jozef Regec,Stub
František Reichel,Stub
Bedřich Reicin,Start
Richard Sacher,Stub
Tomáš Eduard Šilinger,Stub
Karel Sladkovský,Start
Matěj Stropnický,Stub
Jiří Svoboda (director),Start
Miroslav Tetter,Start
"Leopold, Count von Thun und Hohenstein",C
Tomáš Vandas,Start
